Year;Month;Day;Hour;Temp;Luftfuktighet;Lutftryck;Vikt
2022;7;1;1;21.488103;43.850333;951.702000;109.753333
2022;7;1;2;21.206724;43.739500;949.637833;110.048305
2022;7;1;3;20.918275;43.657500;948.442166;110.082166
2022;7;1;4;20.628620;43.612000;947.578666;110.329830
2022;7;1;5;20.278965;43.580000;946.931166;110.212166
2022;7;1;6;20.229827;43.604000;947.499166;109.870666
2022;7;1;7;21.470000;43.666666;948.333000;110.352542
2022;7;1;8;22.877931;43.774666;950.636500;110.559500
2022;7;1;9;23.229655;43.928666;953.210666;110.764666
2022;7;1;10;26.887758;44.115000;955.963500;110.292203
2022;7;1;11;31.990344;44.486833;963.614833;110.023333
2022;7;1;12;29.810175;45.507627;962.747627;110.011896
2022;7;1;13;28.791551;45.072711;969.310847;110.047666
2022;7;1;14;28.778275;45.331166;970.758000;109.896949
2022;7;1;15;27.678965;45.567166;971.947333;110.273500
2022;7;1;16;27.531551;45.850166;973.086833;110.479166
2022;7;1;17;27.666896;46.048500;972.768833;110.742372
2022;7;1;18;27.443103;46.212500;972.940000;110.977000
2022;7;1;19;27.570000;46.372833;972.580500;111.175254
2022;7;1;20;27.213275;46.515500;971.872833;111.484666
2022;7;1;21;25.412586;46.595423;970.679830;112.748983
2022;7;1;22;24.288275;46.612833;968.405666;114.196666
2022;7;1;23;21.962631;46.593833;964.591666;115.221500
2022;7;2;0;21.010862;46.445166;959.145666;115.971186
2022;7;2;1;20.650689;46.300333;955.509333;116.876000
2022;7;2;2;20.050689;46.139166;952.210666;117.135084
2022;7;2;3;19.140689;45.984000;948.593500;117.444000
2022;7;2;4;18.030000;45.843333;945.753500;117.692711
2022;7;2;5;16.921034;45.668983;941.863389;118.066833
2022;7;2;6;16.571724;45.486585;938.291951;118.340500
2022;7;2;8;16.551724;45.168166;933.821666;118.857333
2022;7;2;9;16.520172;45.101000;933.253500;119.209833
2022;7;2;10;17.290344;45.044833;932.518666;119.316610
2022;7;2;11;20.750172;45.085500;934.349000;118.698333
2022;7;2;12;20.836551;45.238500;938.132833;117.705084
2022;7;2;13;21.384482;45.380166;940.862000;116.760166
