Year;Month;Day;Hour;Temp;Luftfuktighet;Lutftryck;Vikt;ViktSkillnad
2022;7;1;1;21.488103;43.850333;951.702;109.753333;0.1
2022;7;1;2;21.206724;43.7395;949.637833;110.048305;0.294972
2022;7;1;3;20.918275;43.6575;948.442166;110.082166;0.033861
2022;7;1;4;20.62862;43.612;947.578666;110.32983;0.247664
2022;7;1;5;20.278965;43.58;946.931166;110.212166;-0.117664
2022;7;1;6;20.229827;43.604;947.499166;109.870666;-0.3415
2022;7;1;7;21.47;43.666666;948.333;110.352542;0.481876
2022;7;1;8;22.877931;43.774666;950.6365;110.5595;0.206958
2022;7;1;9;23.229655;43.928666;953.210666;110.764666;0.205166
2022;7;1;10;26.887758;44.115;955.9635;110.292203;-0.472463
2022;7;1;11;31.990344;44.486833;963.614833;110.023333;-0.26887
2022;7;1;12;29.810175;45.507627;962.747627;110.011896;-0.011437
2022;7;1;13;28.791551;45.072711;969.310847;110.047666;0.03577
2022;7;1;14;28.778275;45.331166;970.758;109.896949;-0.150717
2022;7;1;15;27.678965;45.567166;971.947333;110.2735;0.376551
2022;7;1;16;27.531551;45.850166;973.086833;110.479166;0.205666
2022;7;1;17;27.666896;46.0485;972.768833;110.742372;0.263206
2022;7;1;18;27.443103;46.2125;972.94;110.977;0.234628
2022;7;1;19;27.57;46.372833;972.5805;111.175254;0.198254
2022;7;1;20;27.213275;46.5155;971.872833;111.484666;0.309412
2022;7;1;21;25.412586;46.595423;970.67983;112.748983;1.264317
2022;7;1;22;24.288275;46.612833;968.405666;114.196666;1.447683
2022;7;1;23;21.962631;46.593833;964.591666;115.2215;1.024834
2022;7;2;0;21.010862;46.445166;959.145666;115.971186;0.749686
2022;7;2;1;20.650689;46.300333;955.509333;116.876;0.904814
2022;7;2;2;20.050689;46.139166;952.210666;117.135084;0.259084
2022;7;2;3;19.140689;45.984;948.5935;117.444;0.308916
2022;7;2;4;18.03;45.843333;945.7535;117.692711;0.248711
2022;7;2;5;16.921034;45.668983;941.863389;118.066833;0.374122
2022;7;2;6;16.571724;45.486585;938.291951;118.3405;0.273667
2022;7;2;8;16.551724;45.168166;933.821666;118.857333;0.516833
2022;7;2;9;16.520172;45.101;933.2535;119.209833;0.3525
2022;7;2;10;17.290344;45.044833;932.518666;119.31661;0.106777
2022;7;2;11;20.750172;45.0855;934.349;118.698333;-0.618277
2022;7;2;12;20.836551;45.2385;938.132833;117.705084;-0.993249
2022;7;2;13;21.384482;45.380166;940.862;116.760166;-0.944918
2022;7;2;14;21.890344;45.484;943.0655;115.791864;-0.968302
2022;7;2;15;21.844137;45.64644;945.774745;115.171166;-0.620698
2022;7;2;16;21.661551;45.8045;948.161166;114.677833;-0.493333
2022;7;2;17;21.51862;45.956;950.2965;114.441525;-0.236308
2022;7;2;18;21.44362;46.066166;951.263333;114.347666;-0.093859
2022;7;2;19;21.030862;46.154166;951.603166;114.279661;-0.068005
2022;7;2;20;20.598448;46.206333;951.108;114.265535;-0.014126
2022;7;3;8;18.598793;45.647166;938.9425;116.902166;2.636631
2022;7;3;9;19.608103;45.825666;942.818;116.558666;-0.3435
2022;7;3;10;19.936034;45.9385;943.700666;116.728474;0.169808
2022;7;3;11;21.921379;45.939833;942.601333;116.413;-0.315474
2022;7;3;12;23.024827;46.024666;943.756666;115.862372;-0.550628
2022;7;3;13;23.394655;46.0945;944.728;115.064166;-0.798206
2022;7;3;14;23.651034;46.221666;947.707666;113.842;-1.222166
2022;7;3;15;23.449137;46.464745;953.248813;113.351694;-0.490306
2022;7;3;16;23.272586;46.505166;953.558833;113.112;-0.239694
2022;7;3;17;23.001379;46.535166;953.912166;112.967966;-0.144034
2022;7;3;18;22.647931;46.574833;953.5915;112.7345;-0.233466
2022;7;3;19;22.124482;46.588;952.359833;112.746;0.0115
2022;7;3;20;21.568275;46.601833;951.604333;112.969491;0.223491
2022;7;3;21;20.98931;46.582166;949.834166;113.372166;0.402675
2022;7;3;22;20.135344;46.538166;947.479166;114.044237;0.672071
2022;7;3;23;19.28931;46.442666;944.634333;114.9525;0.908263
2022;7;4;0;18.362931;46.338813;942.493389;115.542033;0.589533
2022;7;4;1;17.733793;46.1635;939.212833;116.099;0.556967
2022;7;4;2;17.221551;46.009833;936.7115;116.6825;0.5835
2022;7;4;3;16.350689;45.866333;934.709666;117.382203;0.699703
2022;7;4;4;16.185689;45.723333;932.318333;118.2715;0.889297
2022;7;4;5;16.046379;45.618833;930.7035;118.96983;0.69833
2022;7;4;6;15.691379;45.533333;929.017166;119.762166;0.792336
2022;7;4;7;16.181206;45.494666;928.416;120.144333;0.382167
2022;7;4;8;16.702363;45.479137;928.238448;120.394482;0.250149
2022;7;4;9;18.300689;45.542833;929.474333;120.3345;-0.059982
2022;7;4;10;23.804137;45.826;936.706;118.417627;-1.916873
2022;7;4;11;26.430862;46.279833;947.1115;117.431666;-0.985961
2022;7;4;12;24.586724;46.637166;953.751;116.71644;-0.715226
2022;7;4;13;22.886724;46.832333;955.313166;116.654333;-0.062107
2022;7;4;14;21.983965;46.914166;954.581166;116.699;0.044667
2022;7;4;15;21.800862;46.994915;954.194067;116.821864;0.122864
2022;7;4;16;21.900701;47.744576;947.967966;116.79983;-0.022034
2022;7;4;17;21.487241;47.294;954.276666;116.147333;-0.652497
2022;7;4;18;20.883275;47.353333;952.952333;116.043559;-0.103774
2022;7;4;19;20.353103;47.326333;950.9;116.053333;0.009774
2022;7;4;20;19.604655;47.299666;948.807666;116.537627;0.484294
2022;7;4;21;18.642241;47.275833;946.745833;117.235833;0.698206
2022;7;4;22;17.962758;47.204576;943.822372;117.984915;0.749082
2022;7;4;23;17.140862;47.094666;940.416833;118.955833;0.970918
2022;7;5;0;16.054655;46.986166;937.212166;119.7105;0.754667
2022;7;5;1;15.251379;46.837666;933.424333;120.357627;0.647127
2022;7;5;2;14.97862;46.695333;930.6825;120.7635;0.405873
2022;7;5;3;14.772758;46.573833;928.8345;121.008474;0.244974
2022;7;5;4;14.607758;46.4805;927.6955;121.3215;0.313026
2022;7;5;5;14.417241;46.390166;926.393666;121.428474;0.106974
2022;7;5;6;15.515172;46.344;926.062333;121.528333;0.099859
2022;7;5;7;19.433448;46.401525;928.080169;121.421;-0.107333
2022;7;5;8;17.934655;46.500833;930.333;121.261666;-0.159334
2022;7;5;9;18.395;47.229322;927.843898;120.703793;-0.557873
2022;7;5;10;20.383275;46.747457;936.806101;119.545166;-1.158627
2022;7;5;11;20.929655;46.937166;941.302166;119.445166;-0.1
2022;7;5;12;20.087192;47.645084;937.249322;119.206271;-0.238895
2022;7;5;13;19.484482;47.0245;941.24;119.264915;0.058644
2022;7;5;14;20.075862;47.098333;941.850333;118.415666;-0.849249
2022;7;5;15;20.443214;47.182093;942.53093;117.825087;-0.590579
2022;7;6;7;17.311754;84.55;653.63;121.568305;3.743218
2022;7;6;8;17.294035;47.2165;921.66;121.315423;-0.252882
2022;7;6;9;18.905862;46.7855;930.805166;119.975932;-1.339491
2022;7;6;10;21.397241;47.114;938.195333;118.5845;-1.391432
2022;7;6;11;21.769827;47.371016;943.341355;117.997288;-0.587212
2022;7;6;12;20.732241;47.479666;944.235;117.833;-0.164288
2022;7;6;13;20.811551;47.499166;942.943;117.281166;-0.551834
2022;7;6;14;20.973965;47.5685;943.483833;116.750677;-0.530489
2022;7;6;15;20.434827;47.646833;944.1615;116.775333;0.024656
2022;7;6;16;20.293965;47.684333;943.833;117.003559;0.228226
2022;7;6;17;19.978103;47.843666;946.5555;116.0145;-0.989059
2022;7;6;18;19.467068;47.886833;946.480166;115.856;-0.1585
2022;7;6;19;19.105517;47.894;945.536166;116.097796;0.241796
2022;7;6;20;18.417241;47.862711;943.931525;116.325;0.227204
2022;7;6;21;17.633448;47.751333;940.8485;116.684406;0.359406
2022;7;6;22;16.776724;47.624333;938.012833;117.2315;0.547094
2022;7;6;23;15.886379;47.506666;935.561833;117.69644;0.46494
2022;7;7;0;15.163103;47.403833;933.115833;117.9705;0.27406
2022;7;7;1;14.484137;47.304833;930.566;118.325833;0.355333
2022;7;7;2;14.186206;47.1815;927.578833;118.679661;0.353828
2022;7;7;3;14.205862;47.089166;926.073333;119.076166;0.396505
2022;7;7;4;14.340344;47.023728;925.140677;119.236949;0.160783
2022;7;7;5;14.132241;46.977;924.6905;119.524666;0.287717
2022;7;7;6;14.102413;46.950833;924.642;119.836333;0.311667
2022;7;7;7;14.32;46.9445;924.526333;120.305932;0.469599
